VideoName,FrameCount,MissCount_5sec,MissCount_2sec,Accuracy,Acc_5sec,Acc_2sec,GTAcc,FrmExtrctTm_5sec,FrmExtrctTm_2sec
Air_Force_One,4494,4426,4453,0.8463581071057705,84.63581071,85.14463729,0.32478264546567454,00:00:36,00:00:35
Base jumping,4729,4009,3965,0.749794413,74.97944127,74.35445596,0.3810935893094448,00:00:05,00:00:05
Bearpark_climbing,3341,1765,1636,0.5279656789384415,52.79656789,51.07851941,0.48844389421839496,00:00:09,00:00:09
Bike Polo,3064,2669,2729,0.7892732811140123,78.92732811,80.48955614,0.41982463749838095,00:00:08,00:00:08
Bus_in_Rock_Tunnel,5131,4694,4706,0.7986357435197817,79.86357435,80.35470668,0.29246301946495484,00:00:03,00:00:03
car_over_camera,4382,3922,3927,0.8347634261372281,83.47634261,83.55393276,0.5185703265985221,00:00:04,00:00:06
Car_railcrossing,5075,4826,4857,0.8266625615763548,82.66625616,83.10714286,0.4080357203523502,00:00:14,00:00:13
Cockpit_Landing,9046,8374,8464,0.8239221755472033,82.39221755,83.04959835,0.34498135136457586,00:00:24,00:00:23
Cooking,1286,1140,1103,0.7897264660140885,78.9726466,77.89772207,0.4537693887275093,00:00:00,00:00:00
Eiffel Tower,4971,4637,4743,0.8347347951451753,83.47347951,84.46590223,0.46351890653984623,00:00:35,00:00:38
Excavators river crossing,9721,8995,9044,0.8017967973116621,80.17967973,80.08435346,0.38462512598568255,00:00:06,00:00:06
Fire Domino,1612,1428,1432,0.7651778329197684,76.51778329,76.84863524,0.38366870062619685,00:00:01,00:00:01
Jumps,950,626,707,0.6101052631578948,61.01052632,64.45614035,0.4779146814404432,00:00:00,00:00:00
Kids_playing_in_leaves,3187,2480,2511,0.6978767911306349,69.78767911,69.82324025,0.3918601110232787,00:00:08,00:00:10
Notre_Dame,4608,4082,4161,0.7943142361111112,79.43142361,80.48611111,0.34425297489872686,00:00:34,00:00:32
Paintball,6096,5830,5845,0.8750675467037209,87.50675467,87.38999537,0.5410249223276224,00:00:16,00:00:16
paluma_jump,2574,2197,2175,0.7472157472157472,74.72157472,74.13105413,0.47912300942603975,00:00:02,00:00:03
playing_ball,3120,2447,2286,0.687119391,68.7119391,65.74719551,0.4321301775147929,00:00:01,00:00:04
Playing_on_water_slide,3065,2525,2546,0.7374877650897228,73.74877651,74.16421968,0.3726917334851997,00:00:01,00:00:02
Saving dolphines,6683,6670,6670,0.8593944835153874,85.93944835,85.93944835,0.17931622664379498,00:00:13,00:00:17
Scuba,2221,355,348,0.6640313361002311,66.40313361,66.55511499,0.1940313361002311,00:00:06,00:00:07
St Maarten Landing,1751,1512,1569,0.8121409614673968,81.21409615,83.0046696,0.46989808548659967,00:00:02,00:00:06
Statue of Liberty,3863,3163,3149,0.7531178145604605,75.31178146,74.44077294,0.3777806250301134,00:00:03,00:00:06
Valparaiso_Downhill,5178,2826,2508,0.5488219389725763,54.8821939,49.56482554,0.4851497578443786,00:00:14,00:00:22
